objectid,filename,title,format,latitude,longitude,genero,narrativa,musica,estetica,innovador,description,narrative_text,music_text,graphics_text
60_seconds_reatomized,60_seconds_reatomized.jpg,60 Seconds! Re-atomized,image/jpg,52.4064,16.9252,Survival,emergente,orquestal,dibujo,narrativa,"Una carrera frenética contra el reloj donde solo tienes un minuto para recoger suministros y a tu familia antes de que caigan las bombas. Tras el impacto, deberás gestionar recursos y tomar decisiones críticas en un búnker subterráneo. Es una comedia negra que pone a prueba tu capacidad de liderazgo en el fin del mundo.","La trama se desarrolla mediante un diario de supervivencia que registra las desventuras diarias de la familia Mc Doodle. Cada decisión sobre el racionamiento de comida o las peligrosas expediciones al exterior altera irreversiblemente el destino de los personajes, generando una crónica de humor negro distinta en cada partida.","Una partitura de cámara tensa y sombría que subraya la atmósfera de claustrofobia dentro del refugio. El uso inteligente del silencio y los ruidos metálicos exteriores aumenta la paranoia del jugador mientras espera el próximo informe de la radio.","El estilo visual evoca un cómic satírico de los años 50 con personajes caricaturescos que se deterioran físicamente con el paso de los días. Los fondos estáticos cambian sutilmente para mostrar la degradación del búnker y la falta de recursos de forma visualmente impactante."
ambidextro,ambidextro.jpg,Ambidextro,image/jpg,39.4699,-0.3763,Local Co-op,mudo,electrónica,minimalista,genero,"Un desafío de coordinación pura donde un solo jugador debe controlar dos personajes simultáneamente a través de laberintos mortales. El juego pone a prueba tu capacidad de procesamiento mental paralelo en tiempo real. Es una experiencia minimalista diseñada para llevar tus habilidades motoras al límite.","El juego carece de diálogos, confiando el peso de su historia a la arquitectura de sus niveles y a la sensación de dualidad constante. La progresión física por los entornos funciona como una metáfora visual sobre la conexión y la sincronización mental.","Ritmos electrónicos constantes y pulsos sintetizados que ayudan al jugador a entrar en un estado de concentración profunda. El paisaje sonoro está diseñado para marcar el tempo de los movimientos del jugador, facilitando la coordinación necesaria para manejar ambos avatares.","Utiliza una paleta de colores de alto contraste sobre fondos oscuros para garantizar una lectura visual rápida y sin fatiga. Su diseño geométrico y limpio permite que el jugador se centre exclusivamente en la acción de ambas mitades de la pantalla sin distracciones innecesarias."
among_us,among_us.jpg,Among Us,image/jpg,47.6740,-122.1215,Social,emergente,retro,dibujo,genero,"Un juego de deducción social donde la tripulación de una nave espacial intenta identificar a los impostores ocultos antes de ser eliminados. La mentira, la sospecha y la acusación son las herramientas principales durante las tensas reuniones de emergencia. Es un experimento social multijugador que pone a prueba la confianza entre amigos.","La historia surge enteramente de las interacciones, engaños y traiciones que ocurren entre los propios jugadores en cada sesión. No existe un guion fijo, convirtiendo cada partida en un episodio de suspense único escrito por el comportamiento humano y la astucia.","El audio es minimalista y funcional, utilizando efectos de sonido icónicos que generan una respuesta instintiva de estrés. El silencio durante las tareas se rompe de forma magistral con alarmas estridentes que marcan el ritmo de las votaciones y el drama.","Presenta un estilo visual simplificado y vibrante con personajes sin brazos que se han convertido en iconos de la cultura pop. Los entornos son limpios y funcionales, diseñados para facilitar la identificación rápida de saboteos y la navegación fluida por los mapas."
ark_survival_evolve,ark_survival_evolve.jpg,ARK: Survival Evolved,image/jpg,47.6769,-122.2060,Survival,ambiental,orquestal,realista,estetica,"Despierta en una isla misteriosa donde debes cazar, fabricar objetos y construir refugios para sobrevivir a dinosaurios y otros jugadores. Podrás domesticar y criar criaturas colosales mientras descubres tecnologías futuristas ocultas en el entorno. Es un simulador de supervivencia masivo que mezcla la prehistoria con la ciencia ficción avanzada.","El pasado de la isla se revela mediante notas de explorador y restos tecnológicos repartidos por los biomas. El jugador debe reconstruir el lore de este mundo por su cuenta, descubriendo el propósito de las enormes estructuras flotantes que dominan el cielo.","Una banda sonora épica que combina instrumentos de viento primitivos y tambores de guerra con sintetizadores modernos. La musica evoluciona junto al jugador, pasando de ritmos tribales a composiciones tecnológicas a medida que se dominan nuevas herramientas.","Destaca por el realismo en el modelado de sus criaturas prehistóricas y un sistema de iluminación dinámica que hace que cada amanecer sea espectacular. La escala de los entornos y el detalle de las texturas de los dinosaurios crean una inmersión visual líder en su genero."
balatro,balatro.jpg,Balatro,image/jpg,43.6532,-79.3832,Roguelike,ninguno,lofi,pixelart,genero,"Un roguelike de póker hipnóticamente adictivo donde el objetivo es crear manos ilegales para ganar apuestas masivas. Deberás combinar manos de póker tradicionales con comodines únicos que generan efectos devastadores y multiplicadores. Cada partida es un rompecabezas estratégico de probabilidades, riesgo y recompensa constante.","La narrativa es puramente mecánica, contando una historia de riesgo y fortuna mediante el diseño de sus cartas y la progresión por los diferentes niveles de apuestas. El universo del juego se construye a través de la personalidad visual de sus comodines y el ambiente de casino clandestino.","Una mezcla hipnótica de sintetizadores ambientales y ritmos lo-fi que induce un estado de concentración absoluta. La musica evoluciona sutilmente para acompañar la tensión de las jugadas sin distraer nunca al jugador de sus cálculos estratégicos.","Inspirado en los antiguos monitores CRT, el juego utiliza efectos de distorsión y aberración cromática para dar una identidad retro única. Las animaciones fluidas de las cartas y el arte psicodélico de los comodines crean una experiencia visual coherente y muy distintiva."
bioshock_infinite,bioshock_infinite.jpg,BioShock Infinite,image/jpg,42.2529,-71.0023,Terror,lineal,orquestal,realista,narrativa,"Viaja a la ciudad flotante de Columbia para rescatar a Elizabeth, una joven con poderes misteriosos atrapada en una guerra civil. Deberás usar armas y habilidades sobrenaturales mientras recorres una metrópolis suspendida en el cielo que oculta secretos oscuros. Es una aventura de acción cinematográfica con una carga filosófica profunda sobre el destino.","La trama explora conceptos complejos como los universos paralelos y el arrepentimiento a través del vínculo emocional entre sus dos protagonistas. La narrativa está integrada perfectamente en la acción, ofreciendo giros de guion que desafían la percepción del jugador sobre la realidad.","Utiliza versiones de canciones pop modernas adaptadas al estilo musical de principios del siglo XX, lo que genera una sensación de anacronismo fascinante. La orquesta cinemática subraya la épica de los combates aéreos y los momentos de mayor tensión dramática.","El diseño artístico se basa en el Art Deco y la estetica americana clásica, creando una ciudad luminosa que esconde una distopía aterradora. Los escenarios verticales y la iluminación volumétrica logran que Columbia se sienta como un lugar real y majestuoso."
blasphemous,blasphemous.jpg,Blasphemous,image/jpg,37.3891,-5.9845,Metroidvania,lore,orquestal,pixelart,estetica,"Encarna al Penitente en su viaje por una tierra castigada por una maldición divina inspirada en el folklore español. Deberás enfrentarte a criaturas grotescas en un combate rítmico y despiadado mientras exploras un mundo no lineal lleno de secretos religiosos. Es una obra maestra de la fantasía oscura con un apartado artístico sobrecogedor.","La historia se fragmenta en las descripciones de los objetos y los diálogos crípticos de personajes atormentados por la fe. El lore construye un universo denso y opresivo basado en la iconografía cristiana, la penitencia y el sacrificio personal.","La banda sonora utiliza la guitarra española y elementos de las procesiones de Semana Santa para crear una identidad sonora única. Las melodías melancólicas y fúnebres refuerzan la sensación de tristeza y solemnidad que impregna todo el reino de Cvstodia.","El pixel art alcanza niveles de detalle increíbles, inspirándose en las pinturas de Goya y la imaginería barroca sevillana. Los diseños de los jefes y los escenarios transmiten una belleza grotesca que lo diferencia de cualquier otro juego del mercado."
breath_of_the_wild,breath_of_the_wild.jpg,The Legend of Zelda: Breath of the Wild,image/jpg,35.0116,135.7681,Survival,ambiental,dinámica,celshading,genero,"Explora con total libertad un reino de Hyrule vasto y melancólico donde la curiosidad es tu única guía. Deberás usar la física del entorno, cocinar para sobrevivir y superar desafíos ancestrales para recuperar tus recuerdos perdidos. Es una aventura que redefine el concepto de mundo abierto mediante la interacción total con la naturaleza.","La historia de la gran calamidad se descubre mediante la observación de las ruinas y los fragmentos de memoria que el protagonista recupera en lugares específicos. La narrativa es sutil y respeta el ritmo del jugador, permitiendo que el mundo cuente su propia tragedia.","Un piano minimalista acompaña las caminatas del jugador, reaccionando de forma dinámica a la presencia de enemigos o al descubrimiento de nuevos lugares. El uso estratégico del silencio ambiental permite que los sonidos de la naturaleza sean los verdaderos protagonistas.","Su estilo cel-shaded imita una pintura en movimiento, utilizando colores suaves y paisajes vastos que son legibles desde cualquier distancia. La dirección artística logra que incluso los entornos vacíos se sientan llenos de vida y belleza estetica."
brotato,brotato.jpg,Brotato,image/jpg,45.7640,4.8357,Bullet Hell,ninguno,electrónica,cartoon,genero,"Una patata armada hasta los dientes debe sobrevivir a oleadas de alienígenas en una arena cerrada mientras mejora su equipo. Podrás manejar hasta seis armas a la vez y crear combinaciones de habilidades extremadamente poderosas para resistir el caos. Es un roguelite frenético donde la toma rápida de decisiones define cada partida.","Carece de una trama compleja para centrarse en una premisa absurda y directa que justifica la acción inmediata. La narrativa se reduce a la supervivencia heroica de un personaje carismático frente a un ejército interminable de enemigos.","musica electrónica de alta energía con ritmos rápidos que mantienen al jugador en un estado de alerta constante. La banda sonora está diseñada para acompañar la intensidad de los disparos y el movimiento incesante por la arena de combate.","Utiliza dibujos en 2D muy claros y definidos que facilitan la identificación de las amenazas en medio de la saturación de proyectiles. Su estilo visual es funcional y simpático, permitiendo una jugabilidad fluida incluso con cientos de elementos en pantalla."
castle_crashers,castle_crashers.jpg,Castle Crashers,image/jpg,32.7157,-117.1611,Local Co-op,comedia,rock,handdrawn,musica,"Lucha junto a tres amigos para salvar a las princesas y defender el reino en este clásico de acción cooperativa. Deberás mejorar a tu caballero, desbloquear armas y enfrentarte a jefes memorables en un viaje lleno de humor absurdo. Es un homenaje vibrante a los juegos de lucha callejera de los salones recreativos.","La historia sigue el esquema tradicional de rescate heroico pero lo subvierte constantemente con gags visuales y situaciones surrealistas. El humor es el motor principal de la aventura, conectando con el jugador mediante gestos y situaciones cómicas sin diálogos.","Una mezcla energética de sintetizadores, chiptune y ritmos rock que eleva la adrenalina en cada batalla. La musica es icónica por su capacidad de transmitir diversión y frenetismo, convirtiéndose en una parte esencial de la identidad del juego.","Todo el apartado artístico está dibujado a mano con un estilo vectorial muy limpio y animaciones extremadamente expresivas. El diseño de personajes cabezones y el uso de colores saturados le dan un aspecto visual único que ha envejecido de forma excelente."
